company,year,is_financial,sector,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash
LG전자,2023,0,,84227765000000.0,3549074000000.0,1150611000000.0,60240793000000,36742257000000,23498536000000,
LG전자,2024,0,,87728182000000.0,3419675000000.0,591365000000.0,65629589000000,40417925000000,25211664000000,
LG화학,2013,0,,23143612000000.0,1743044000000.0,1270613000000.0,17446464000000,5720802000000,11725662000000,
LG화학,2014,0,,22577830000000.0,1310761000000.0,854025000000.0,18127646000000,5861794000000,12265852000000,
LG화학,2015,0,,20206583000000.0,1823568000000.0,1148531000000.0,18578728000000,5475206000000,13103522000000,
LG화학,2016,0,,20659296000000.0,1991920000000.0,1280994000000.0,20487060000000,6436093000000,14050967000000,
LG화학,2017,0,,25698014000000.0,2928457000000.0,2021973000000.0,25041221000000,8702644000000,16338577000000,
LG화학,2018,0,,28183013000000.0,2246070000000.0,1519312000000.0,28944137000000,11622009000000,17322128000000,
LG화학,2019,0,,28625042000000.0,895648000000.0,376104000000.0,34024426000000,16640637000000,17383789000000,
LG화학,2020,0,,30076510000000.0,1798159000000.0,682408000000.0,41388894000000,22598454000000,18790440000000,
LG화학,2021,0,,42654722000000.0,5025466000000.0,3953904000000.0,51135302000000,27925314000000,23209988000000,
LG화학,2022,0,,51864888000000.0,2995698000000.0,2195518000000.0,67973823000000,30492696000000,37481127000000,
LG화학,2023,0,,55249785000000.0,2529196000000.0,2053425000000.0,77466694000000,36528509000000,40938185000000,
LG화학,2024,0,,48916104000000.0,916798000000.0,515011000000.0,93857762000000,45862299000000,47995463000000,
LS,2013,0,,11393581000000.0,465347000000.0,165153000000.0,10006806000000,6999669000000,3007137000000,
LS,2014,0,,10883348000000.0,377233000000.0,86705000000.0,10335736000000,7302628000000,3033108000000,
LS,2015,0,,9999749000000.0,271955000000.0,-73454000000.0,9881465000000,6927878000000,2953587000000,
LS,2016,0,,9621313000000.0,459214000000.0,215138000000.0,9713037000000,6457803000000,3255234000000,
LS,2017,0,,9515114000000.0,532167000000.0,364831000000.0,9978904000000,6346794000000,3632110000000,
LS,2018,0,,10110159000000.0,509088000000.0,487659000000.0,10490289000000,6130728000000,4359561000000,
LS,2019,0,,10176243000000.0,351981000000.0,92824000000.0,10763512000000,6492184000000,4271328000000,
LS,2020,0,,10444316000000.0,419168000000.0,194725000000.0,11660540000000,7212043000000,4448497000000,
LS,2021,0,,13089102000000.0,583656000000.0,352129000000.0,12625931000000,7915665000000,4710266000000,
LS,2022,0,,17491338000000.0,670941000000.0,505486000000.0,16813978000000,11259315000000,5554663000000,
LS,2023,0,,24480743000000.0,899674000000.0,570596000000.0,18245954000000,11495353000000,6750601000000,
LS,2024,0,,27544663000000.0,1072943000000.0,391515000000.0,20527939000000,13646786000000,6881153000000,
NAVER,2013,0,,2259138612000.0,506538818000.0,1895289315000.0,2697746840000,1222437824000,1475309016000,
NAVER,2014,0,,2758478837000.0,758199066000.0,451763104000.0,3394457894000,1597039679000,1797418215000,
NAVER,2015,0,,3251157100000.0,762203849000.0,516986279000.0,4385913018000,2116334499000,2269578519000,
NAVER,2016,0,,4022629619982.0,1102040475792.0,759072951187.0,6370635180592,2241036317652,4129598862940,
NAVER,2017,0,,4678468928032.0,1179187806331.0,770101670207.0,8019251559914,2714065324965,5305186234949,
NAVER,2018,0,,5586904533355.0,942532561543.0,627901873332.0,9881190909324,3932050396031,5949140513293,
NAVER,2019,0,,6593400065244.0,710070173513.0,396821062465.0,12299527120786,5795601052206,6503926068580,
NAVER,2020,0,,5304145900386.0,1215342457273.0,844996977149.0,17014238663770,8759106628557,8255132035213,
NAVER,2021,0,,6817599707250.0,1325478171117.0,16477625559645.0,33691006757040,9663630407765,24027376349275,
NAVER,2022,0,,8220078708810.0,1304664410543.0,673180300087.0,33899042889136,10448720408685,23450322480451,
NAVER,2023,0,,9670643576585.0,1488820269608.0,985017762493.0,35737826964395,11499828148842,24237998815553,
NAVER,2024,0,,10737719264647.0,1979263438827.0,1931976372953.0,38167876036020,11166964187683,27000911848337,
NC,2013,0,,756655650601.0,205235211161.0,158695768295.0,1479521681932,320758501362,1158763180570,
NC,2014,0,,838718199693.0,278188111023.0,227519296162.0,1698826127743,323231513838,1375594613905,
NC,2015,0,,838297603134.0,237466377634.0,166350442469.0,2219197320342,430262047043,1788935273299,
NC,2016,0,,983556873665.0,328762462165.0,271381872090.0,2360802861680,465295073708,1895507787972,
NC,2017,0,,1758721721721.0,585018961722.0,444043111896.0,3526567160619,797327860834,2729239299785,
NC,2018,0,,1715115508236.0,614929312373.0,421467650710.0,2941278714044,562307308920,2378971405124,
NC,2019,0,,1701185422583.0,478992418793.0,359154722508.0,3346377400385,834211969584,2512165430801,
NC,2020,0,,2416184211886.0,824793705694.0,586612599330.0,4081208896622,936521663466,3144687233156,
NC,2021,0,,2308817408865.0,375213171049.0,395734616139.0,4581889369472,1430662643098,3151226726374,
NC,2022,0,,2571792281800.0,559006120606.0,435990309263.0,4437632450781,1239083608249,3198548842532,
NC,2023,0,,1779832977766.0,137283512800.0,213914315973.0,4393800423903,1140771883353,3253028540550,
NC,2024,0,,1578123132867.0,-109215374026.0,94115833907.0,3953941191414,890352556840,3063588634574,
NH투자증권,2021,1,금융_증권,,,931464000000.0,58541999000000,51718694000000,6823305000000,
NH투자증권,2022,1,금융_증권,,,302929000000.0,53428267000000,46200211000000,7228056000000,
NH투자증권,2023,1,금융_증권,,,553048000000.0,56697893000000,49084465000000,7613428000000,
NH투자증권,2024,1,금융_증권,,,686638000000.0,62427065000000,54307696000000,8119369000000,
POSCO홀딩스,2013,0,,61864649858923.0,2996133863972.0,1355180337664.0,84455406685158,38633376654827,45822030030331,
POSCO홀딩스,2014,0,,65098445304159.0,3213530266213.0,556659145957.0,85252172612786,39960808435151,45291364177635,
POSCO홀딩스,2015,0,,58192344560634.0,2410042581756.0,-96181234235.0,80408759246293,35338537276364,45070221969929,
POSCO홀딩스,2016,0,,53083512926398.0,2844324579269.0,1048168659851.0,79762994519614,33924600214018,45838394305596,
POSCO홀딩스,2017,0,,60655099616772.0,4621833653378.0,2973469160759.0,79024959079531,31560950538891,47464008540640,
POSCO홀딩스,2018,0,,64977777434194.0,5542599677254.0,1892064406279.0,78248265216732,31488714346325,46759550870407,
POSCO홀딩스,2019,0,,64366847807959.0,3868854558550.0,1982637208513.0,79058661130791,31263954310516,47794706820275,
POSCO홀딩스,2020,0,,57792795732820.0,2403035192908.0,1788152419240.0,79086973226376,31412381141295,47674592085081,
POSCO홀딩스,2021,0,,76332345050013.0,9238089232877.0,7195889963608.0,91471614111915,36666670760250,54804943351665,
POSCO홀딩스,2022,0,,84750203702240.0,4850053015766.0,3560483538695.0,98406780635254,40149380046004,58257400589250,
POSCO홀딩스,2023,0,,77127197108585.0,3531422506439.0,1845849532200.0,100945394185079,41281496791611,59663897393468,
POSCO홀딩스,2024,0,,72688143160111.0,2173573272904.0,947580322052.0,103404198997805,41953831078121,61450367919684,
S-Oil,2013,0,,31158528000000.0,366044000000.0,289639000000.0,11920735000000,6566728000000,5354007000000,
S-Oil,2014,0,,28557562000000.0,-289704000000.0,-287828000000.0,10255738000000,5346721000000,4909017000000,
S-Oil,2015,0,,17890272000000.0,817604000000.0,631322000000.0,10795526000000,5405609000000,5389917000000,
S-Oil,2016,0,,16321843000000.0,1616889000000.0,1205364000000.0,13959027000000,7567442000000,6391585000000,
S-Oil,2017,0,,20891374000000.0,1373265000000.0,1246489000000.0,15087451000000,8244831000000,6842620000000,
S-Oil,2018,0,,25463295000000.0,639460000000.0,258035000000.0,15955044000000,9485810000000,6469234000000,
S-Oil,2019,0,,24394173000000.0,420077000000.0,65429000000.0,16333401000000,9836775000000,6496626000000,
S-Oil,2020,0,,16829681000000.0,-1099146000000.0,-796108000000.0,15690510000000,10008033000000,5682477000000,
S-Oil,2021,0,,27463918000000.0,2140942000000.0,1378541000000.0,18693235000000,11705193000000,6988042000000,
S-Oil,2022,0,,42446028000000.0,3405166000000.0,2104387000000.0,19613135000000,11129666000000,8483469000000,
S-Oil,2023,0,,35726694000000.0,1354582000000.0,948848000000.0,21576123000000,12538558000000,9037565000000,
S-Oil,2024,0,,36637031000000.0,422177000000.0,-193042000000.0,24451433000000,15755786000000,8695647000000,
SK,2013,0,,2301755000000.0,225193000000.0,124651000000.0,5292930000000,2792126000000,2500804000000,
SK,2014,0,,2425966000000.0,271542000000.0,240347000000.0,5307039000000,2704671000000,2602368000000,
SK,2015,0,,39569775000000.0,1403264000000.0,5821064000000.0,96633809000000,56556559000000,40077250000000,
SK,2016,0,,83617494000000.0,5298179000000.0,2822484000000.0,103047337000000,60720613000000,42326724000000,
SK,2017,0,,93296368000000.0,5861039000000.0,5066482000000.0,109776920000000,64020500000000,45756420000000,
SK,2018,0,,101502020000000.0,4688117000000.0,6151141000000.0,119456991000000,68569119000000,50887872000000,
SK,2019,0,,99264574000000.0,3949864000000.0,1607249000000.0,132020676000000,79838041000000,52182635000000,
SK,2020,0,,81820139000000.0,-164471000000.0,-108432000000.0,137638377000000,85778459000000,51859918000000,
SK,2021,0,,98325016000000.0,4935539000000.0,5718424000000.0,165380861000000,99815712000000,65565149000000,
SK,2022,0,,134551641000000.0,8004710000000.0,3966176000000.0,194505860000000,122697070000000,71808790000000,
SK,2023,0,,131237878000000.0,5056378000000.0,-406387000000.0,206970264000000,129091214000000,77879050000000,
SK,2024,0,,124690439000000.0,2355290000000.0,528810000000.0,214977754000000,134690218000000,80287536000000,
SKC,2013,0,,2641403172466.0,124002679870.0,25737659251.0,3585799683355,2380345557371,1205454125984,
SKC,2014,0,,2802235022211.0,152377951333.0,43307997481.0,3686751079353,2385746015913,1301005063440,
SKC,2015,0,,2564762025032.0,218057965013.0,245594083582.0,3688196893761,2131892823967,1556304069794,
SKC,2016,0,,2359440143632.0,149300909746.0,29262916133.0,3528839514026,2004918407816,1523921106210,
SKC,2017,0,,2653544415383.0,175694737669.0,136346624797.0,3667311813522,2073736487058,1593575326464,
SKC,2018,0,,2767834347283.0,201129151751.0,141041714507.0,3833128681093,2138328269076,1694800412017,
SKC,2019,0,,2539766499160.0,155080809640.0,67392287037.0,3972988752154,2246614915284,1726373836870,
SKC,2020,0,,2702184519734.0,190788258583.0,73620866788.0,5406405840533,3491292259465,1915113581068,
SKC,2021,0,,3396056746194.0,464743373689.0,342340322117.0,6180132503610,3897771811708,2282360691902,
SKC,2022,0,,3138910077125.0,220255942998.0,-24636826941.0,6393092564908,4151241803700,2241850761208,
SKC,2023,0,,1570751580937.0,-216300854733.0,-326360017026.0,7032322131682,4507897882742,2524424248940,
SKC,2024,0,,1721564345604.0,-276832854584.0,-455055541599.0,6748678536179,4455945828201,2292732707978,
SK이노베이션,2013,0,,66039204048000.0,1458645712000.0,778733149000.0,35288869208000,18373615454000,16915253754000,
SK이노베이션,2014,0,,65860712618000.0,-182803245000.0,-537165529000.0,35101313814000,19040256567000,16061057247000,
SK이노베이션,2015,0,,48356320414000.0,1979564947000.0,867676735000.0,31359835736000,14313499515000,17046336221000,
SK이노베이션,2016,0,,39520538747000.0,3228337172000.0,1721434289000.0,32581330983000,14276285724000,18305045259000,
SK이노베이션,2017,0,,46260932050000.0,3234369756000.0,2145101728000.0,34243603274000,14934270375000,19309332899000,
SK이노베이션,2018,0,,54510898386000.0,2117589790000.0,1699046923000.0,36085384070000,16757401405000,19327982665000,
SK이노베이션,2019,0,,49876534172000.0,1269292250000.0,65774590000.0,39526056607000,21316432845000,18209623762000,
SK이노베이션,2020,0,,34164529332000.0,-2568795615000.0,1592008115000.0,38498146106000,23039681023000,15458465083000,
SK이노베이션,2021,0,,46842929105000.0,1754170704000.0,1317007178000.0,49557440204000,29924245706000,19633194498000,
SK이노베이션,2022,0,,78056939448000.0,3917340789000.0,1895179127000.0,67218924277000,43976612895000,23242311382000,
SK이노베이션,2023,0,,77288485864000.0,1903886320000.0,554894277000.0,80835513251000,50815545738000,30019967513000,
SK이노베이션,2024,0,,74716970174000.0,315488338000.0,-2372482956000.0,110530097549000,70881188555000,39648908994000,
SK텔레콤,2013,0,,16602054000000.0,0.0,,26576515000000,12409958000000,14166557000000,
SK텔레콤,2014,0,,17163798000000.0,1825105000000.0,1799320000000.0,27941233000000,12692963000000,15248270000000,
SK텔레콤,2015,0,,17136734000000.0,1708006000000.0,1515885000000.0,28581387000000,13207291000000,15374096000000,
SK텔레콤,2016,0,,17091816000000.0,1535744000000.0,1660101000000.0,31297663000000,15181233000000,16116430000000,
SK텔레콤,2017,0,,17520013000000.0,1536626000000.0,2657595000000.0,33428669000000,15399474000000,18029195000000,
SK텔레콤,2018,0,,16873960000000.0,1201760000000.0,3131988000000.0,42369111000000,20019861000000,22349250000000,
SK텔레콤,2019,0,,17743702000000.0,1109980000000.0,861942000000.0,44611620000000,21788084000000,22823536000000,
SK텔레콤,2020,0,,18624651000000.0,1349324000000.0,1500538000000.0,47906957000000,23510714000000,24396243000000,
SK텔레콤,2021,0,,16748585000000.0,1387162000000.0,2418989000000.0,30911277000000,18576139000000,12335138000000,
SK텔레콤,2022,0,,17304973000000.0,1612070000000.0,947831000000.0,31308262000000,19153066000000,12155196000000,
SK텔레콤,2023,0,,17608511000000.0,1753204000000.0,1145937000000.0,30119227000000,17890828000000,12228399000000,
SK텔레콤,2024,0,,17940609000000.0,1823409000000.0,1387095000000.0,30515255000000,18687621000000,11827634000000,
SK하이닉스,2013,0,,14165102000000.0,3379785000000.0,2872857000000.0,20797298000000,7730439000000,13066859000000,
SK하이닉스,2014,0,,17125566000000.0,5109466000000.0,4195169000000.0,26883278000000,8846975000000,18036303000000,
SK하이닉스,2015,0,,18797998000000.0,5336100000000.0,4323595000000.0,29677906000000,8290203000000,21387703000000,
SK하이닉스,2016,0,,17197975000000.0,3276746000000.0,2960483000000.0,32216026000000,8192496000000,24023530000000,
SK하이닉스,2017,0,,30109434000000.0,13721326000000.0,10642219000000.0,45418464000000,11597545000000,33820919000000,
SK하이닉스,2018,0,,40445066000000.0,20843750000000.0,15539984000000.0,63658335000000,16806004000000,46852331000000,
SK하이닉스,2019,0,,26990733000000.0,2712718000000.0,2016391000000.0,64789494000000,16846299000000,47943195000000,
SK하이닉스,2020,0,,31900418000000.0,5012624000000.0,4758914000000.0,71173853000000,19264756000000,51909097000000,
SK하이닉스,2021,0,,42997792000000.0,12410340000000.0,9616188000000.0,96386474000000,34195416000000,62191058000000,
SK하이닉스,2022,0,,44621568000000.0,6809417000000.0,2241669000000.0,103871512000000,40580970000000,63290542000000,
SK하이닉스,2023,0,,32765719000000.0,-7730313000000.0,-9137547000000.0,100330165000000,46826413000000,53503752000000,
SK하이닉스,2024,0,,66192960000000.0,23467319000000.0,19796902000000.0,119855209000000,45939505000000,73915704000000,
고려아연,2013,0,,4817733928577.0,598609229858.0,452757831974.0,5120964732590,789005713465,4331959019125,
고려아연,2014,0,,4938531767644.0,682672613196.0,504874327655.0,5642418565089,859304761386,4783113803703,
고려아연,2015,0,,4771442958357.0,672218933053.0,513990324342.0,5907933006646,688564178322,5219368828324,
고려아연,2016,0,,5847513111727.0,764684587877.0,594584342454.0,6482637891567,819933197199,5662704694368,
고려아연,2017,0,,6596671356857.0,894752364239.0,634031142698.0,7038142272799,932491517423,6105650755376,
고려아연,2018,0,,6883323139792.0,764718763710.0,534814939005.0,7225894143698,851366368823,6374527774875,
고려아연,2019,0,,6694810889702.0,805328836892.0,638613351819.0,7840561221499,1002169326090,6838391895409,
고려아연,2020,0,,7581926858435.0,897387769203.0,574828670832.0,8499645577650,1412616891338,7087028686312,
고려아연,2021,0,,9976776443636.0,1096146343693.0,811106029144.0,9964048634649,2229814171825,7734234462824,
고려아연,2022,0,,11219358600107.0,919171130822.0,798264387415.0,12097918358974,2866186242426,9231732116548,
고려아연,2023,0,,9704521343024.0,659935424598.0,533378688122.0,12046071311650,2404068442780,9642002868870,
고려아연,2024,0,,12052918410249.0,723472208523.0,194781564506.0,14792322181548,7196894404555,7595427776993,
기아,2013,0,,47597897000000.0,3177100000000.0,3817059000000.0,36182040000000,15927245000000,20254795000000,
기아,2014,0,,47097049000000.0,2572549000000.0,2993593000000.0,41044202000000,18560337000000,22483865000000,
기아,2015,0,,49521447000000.0,2354273000000.0,2630600000000.0,45980113000000,21776082000000,24204031000000,
기아,2016,0,,52712906000000.0,2461480000000.0,2754640000000.0,50889260000000,24309836000000,26579424000000,
기아,2017,0,,53535680000000.0,662226000000.0,968018000000.0,52294438000000,25433261000000,26861177000000,
기아,2018,0,,54169813000000.0,1157475000000.0,1155943000000.0,51786605000000,24543141000000,27243464000000,
기아,2019,0,,58145959000000.0,2009680000000.0,1826659000000.0,55344798000000,26366660000000,28978138000000,
기아,2020,0,,59168096000000.0,2066457000000.0,1487585000000.0,60490443000000,30598771000000,29891672000000,
기아,2021,0,,69862366000000.0,5065685000000.0,4760311000000.0,66849997000000,31937441000000,34912556000000,
기아,2022,0,,86559029000000.0,7233120000000.0,5408976000000.0,73710965000000,34367884000000,39343081000000,
기아,2023,0,,99808420000000.0,11607873000000.0,8777817000000.0,80627826000000,34069591000000,46558235000000,
